,open,high,low,close,volume
2016-04-19,157.7500,163.7000,157.0000,162.6500,5830460
2016-04-20,162.0000,167.4500,161.9400,166.9800,4800527
2016-04-21,166.5500,168.9000,165.0100,165.3200,4163734
2016-04-22,165.7900,167.4900,165.6600,166.7500,2680171
2016-04-25,166.0000,167.3900,164.0600,165.0900,2472984
2016-04-26,165.3800,166.0000,164.2200,165.8400,2250895
2016-04-27,165.8300,168.6550,164.9300,166.9200,3323459
2016-04-28,165.3500,167.3200,164.0100,164.2900,2527327
2016-04-29,163.8000,164.6800,162.5600,164.1100,2890849
2016-05-02,165.0800,167.1900,163.9900,166.1800,1998361
2016-05-03,163.6600,164.1100,161.3700,163.1400,2776969
2016-05-04,161.2000,162.5990,159.0900,160.0700,3203833
2016-05-05,160.7800,160.8200,158.5000,159.5300,2366823
2016-05-06,158.1900,160.1700,157.0100,158.8500,2306176
2016-05-09,158.2000,159.8500,156.7900,157.5100,2097454
2016-05-10,158.6700,161.5000,158.3900,161.4200,2379585
2016-05-11,161.3600,162.5300,159.2800,159.4200,2095898
2016-05-12,160.3200,161.4700,157.3100,158.0700,2447686
2016-05-13,157.8800,159.7150,155.2600,155.3400,2549908
2016-05-16,155.3400,156.9000,154.6000,155.3800,3177707
2016-05-17,154.7400,157.1100,153.7700,154.6500,2699449
2016-05-18,154.8100,160.0000,154.6500,159.9400,3653260
2016-05-19,158.6800,159.9499,154.5200,154.7000,4711959
2016-05-20,155.7600,156.4100,153.9220,154.5100,3247841
2016-05-23,154.4400,156.0900,153.7401,155.4500,2767409
2016-05-24,156.6700,158.5500,156.4400,157.5900,3039343
2016-05-25,158.0600,162.2900,158.0300,161.2500,3260320
2016-05-26,161.1600,161.3337,159.1700,159.8300,2576024
2016-05-27,158.7000,160.4000,158.3230,159.5300,2157794
2016-05-31,160.4000,161.6500,158.5500,159.4800,2915646
2016-06-01,157.9000,160.5500,156.0000,159.9700,2581550
2016-06-02,160.1400,160.3300,158.4624,159.2800,2257052
2016-06-03,155.8600,156.5400,153.8600,155.6700,4328603
2016-06-06,156.2500,157.9089,155.7700,157.0600,2540081
2016-06-07,157.2000,157.4700,155.1700,155.1700,2489706
2016-06-08,155.2000,156.5800,153.9100,154.6400,2426771
2016-06-09,153.7900,154.2900,152.4611,153.1700,2712012
2016-06-10,151.3500,151.6599,149.5700,149.8900,4335725
2016-06-13,149.0000,151.3160,148.5900,148.6300,3385568
2016-06-14,148.2200,149.0500,145.4500,146.1900,5069496
2016-06-15,147.1600,148.7000,145.9000,146.1600,2980272
2016-06-16,145.0000,146.9900,143.5300,146.6300,3495834
2016-06-17,146.6300,148.2300,145.4600,145.6400,4296532
2016-06-20,148.5000,150.5000,147.5800,147.7500,3338934
2016-06-21,148.5000,148.8300,147.1200,148.3500,2424723
2016-06-22,148.0100,150.1200,147.9900,148.1400,2485406
2016-06-23,150.5600,152.8000,150.1400,152.6600,2934438
2016-06-24,143.0300,146.4200,140.9200,141.8600,9441310
2016-06-27,140.0700,141.2300,138.2000,139.5100,7397164
2016-06-28,142.2100,142.6150,139.8200,142.4100,5040600
2016-06-29,143.6000,145.5500,142.9301,145.5000,3804113
2016-06-30,146.6700,148.8800,145.3700,148.5800,4528624
2016-07-01,148.4900,150.7000,148.0700,148.2500,3096762
2016-07-05,146.7200,146.9400,143.3300,144.4500,3942664
2016-07-06,142.9400,145.9399,142.6241,145.5800,2941384
2016-07-07,146.0000,148.0900,145.3600,147.0000,2578292
2016-07-08,149.3600,150.9200,148.3100,150.3800,3281405
2016-07-11,151.4900,152.9800,151.3800,152.1900,3042033
2016-07-12,154.0000,157.2500,153.9200,156.9200,5119314
2016-07-13,157.0000,158.2700,156.1500,157.9200,4275685
2016-07-14,160.2900,163.2400,160.0100,162.5400,5086924
2016-07-15,162.8600,163.1400,160.7000,161.6400,3076125
2016-07-18,162.3600,164.0900,162.0100,163.3300,4730932
2016-07-19,162.0200,164.0800,160.7300,161.4100,5399685
2016-07-20,162.5500,162.8900,159.2200,161.7700,3547824
2016-07-21,161.7100,161.9000,159.7700,160.0500,2997187
2016-07-22,160.2900,160.7300,159.8600,160.4100,1811695
2016-07-25,159.6400,161.3300,159.6100,160.5100,1956099
2016-07-26,160.6800,161.5000,159.4200,161.1600,2147846
